path,title,price
https://novamnm.com/product/blu-ray-suspiria-plain-edition/1094/?cate_no=122&display_group=1,BLU-RAY / SUSPIRIA (PLAIN EDITION),15.29
https://novamnm.com/product/blu-ray-before-the-devil-knows-youre-dead-plain-edition/1753/?cate_no=122&display_group=1,BLU-RAY / Before The Devil Knows You're Dead (plain edition),14.79
https://novamnm.com/product/blu-ray-the-legend-of-1900-plain-edition/1092/?cate_no=122&display_group=1,BLU-RAY / THE LEGEND OF 1900 (PLAIN EDITION),15.29
https://novamnm.com/product/blu-ray-the-piano-plain-edition/1093/?cate_no=122&display_group=1,BLU-RAY / THE PIANO (PLAIN EDITION),15.29
https://novamnm.com/product/blu-ray-brotherhood-of-the-wolf-plain-edition/1923/?cate_no=122&display_group=1,BLU-RAY / Brotherhood Of The Wolf (plain edition),12.79
https://novamnm.com/product/blu-ray-i-girasoli-aka-sunflower/1095/?cate_no=122&display_group=1,BLU-RAY / I GIRASOLI (A.K.A. SUNFLOWER),15.79
https://novamnm.com/product/blu-ray-august-osage-county-no-out-case/1925/?cate_no=122&display_group=1,BLU-RAY /  August: Osage County (no out case),15.29
https://novamnm.com/product/blu-ray-suspect-x-plain-edition/1200/?cate_no=122&display_group=1,BLU-RAY / SUSPECT X (PLAIN EDITION),14.79
https://novamnm.com/product/blu-ray-azur-and-asmar/1924/?cate_no=122&display_group=1,BLU-RAY / Azur And Asmar,14.29
https://novamnm.com/product/blu-ray-the-usual-suspects-plain-edition/1926/?cate_no=122&display_group=1,BLU-RAY /  The Usual Suspects (plain edition),12.79
https://novamnm.com/product/blu-ray-virgin-stripped-bare-by-her-bachelors-plain-edition/1928/?cate_no=122&display_group=1,BLU-RAY / Virgin Stripped Bare By Her Bachelors (Plain edition),12.79
https://novamnm.com/product/blu-ray-the-flowers-of-war-plain-edition/1198/?cate_no=122&display_group=1,BLU-RAY / THE FLOWERS OF WAR (PLAIN EDITION),14.79
https://novamnm.com/product/blu-ray-lesson-of-the-evil/362/?cate_no=122&display_group=1,BLU-RAY / LESSON OF THE EVIL,14.79
https://novamnm.com/product/blu-ray-monster-plain-edition/1929/?cate_no=122&display_group=1,BLU-RAY / Monster (plain edition),12.79
https://novamnm.com/product/blu-ray-ran/1917/?cate_no=122&display_group=1,BLU-RAY / Ran,15.29
https://novamnm.com/product/blu-ray-while-were-young/266/?cate_no=122&display_group=1,BLU-RAY / WHILE WE'RE YOUNG,15.79
